"","name","full_team","team","year","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter"
"544","LeSean McCoy","Philadelphia Eagles","phi",2011,16,1,4,"illness shoulder toe ankle",8,16,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"550","Peyton Hillis","Cleveland Browns","cle",2011,16,6,10,"illness hamstring hip elbow",3,16,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,1
"551","Derrick Dockery","Dallas Cowboys","dal",2011,16,4,6,"knee",3,8,"OL",2003,3,81,78,325,"1980-09-07",5.58,0,0,92,78,347,0,25,1
"552","Roberto Garza","Chicago Bears","chi",2011,NA,NA,NA,NA,NA,NA,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"553","Donald Penn","Tampa Bay Buccaneers","tam",2011,16,0,1,"foot",10,10,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"556","Red Bryant","Seattle Seahawks","sea",2011,NA,NA,NA,NA,NA,NA,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,1
"559","Sedrick Ellis","New Orleans Saints","nor",2011,18,1,6,"ankle hamstring",7,15,"DEF",2008,1,7,73,308,"1985-07-09",5.26,7.78,34,105,72,309,4.73,26.5,1
"560","Carl Nicks","New Orleans Saints","nor",2011,18,0,1,"illness",2,2,"OL",2008,5,164,77,343,"1985-05-14",5.22,7.91,31,109,77,341,4.68,25.5,1
"562","Bryant McKinnie","Baltimore Ravens","rav",2011,NA,NA,NA,NA,NA,NA,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"563","Sebastian Vollmer","New England Patriots","nwe",2011,19,12,19,"back back/foot",1,19,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"644","Carl Nicks","Tampa Bay Buccaneers","tam",2012,16,9,14,"foot toe",2,16,"OL",2008,5,164,77,343,"1985-05-14",5.22,7.91,31,109,77,341,4.68,25.5,1
"678","Justin Medlock","Carolina Panthers","car",2012,NA,NA,NA,NA,NA,NA,"K",2007,5,160,72,201,"1983-10-23",4.89,0,0,0,72,201,0,0,0
"738","Ishmaa'ily Kitchen","Cleveland Browns","cle",2012,16,0,1,"calf",16,16,"DEF",NA,NA,NA,73,334,"1988-06-24",NA,NA,NA,NA,NA,NA,NA,NA,0
"739","Will Beatty","New York Giants","nyg",2012,16,0,1,"back",1,1,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,1
"740","LeSean McCoy","Philadelphia Eagles","phi",2012,16,4,9,"rib knee ankle illness concussion",4,15,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"741","Derrick Dockery","Dallas Cowboys","dal",2012,NA,NA,NA,NA,NA,NA,"OL",2003,3,81,78,325,"1980-09-07",5.58,0,0,92,78,347,0,25,0
"742","Roberto Garza","Chicago Bears","chi",2012,NA,NA,NA,NA,NA,NA,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"743","Donald Penn","Tampa Bay Buccaneers","tam",2012,16,0,1,"wrist",8,8,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"744","Sedrick Ellis","New Orleans Saints","nor",2012,NA,NA,NA,NA,NA,NA,"DEF",2008,1,7,73,308,"1985-07-09",5.26,7.78,34,105,72,309,4.73,26.5,1
"745","Peyton Hillis","Kansas City Chiefs","kan",2012,16,3,5,"ankle",3,7,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,0
"751","Red Bryant","Seattle Seahawks","sea",2012,18,0,6,"foot",10,16,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,1
"752","Sebastian Vollmer","New England Patriots","nwe",2012,18,1,16,"back back/knee knee",1,16,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"754","Bryant McKinnie","Baltimore Ravens","rav",2012,20,0,2,"thigh hip",7,8,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"789","Carl Nicks","Tampa Bay Buccaneers","tam",2013,16,14,15,"foot",1,16,"OL",2008,5,164,77,343,"1985-05-14",5.22,7.91,31,109,77,341,4.68,25.5,1
"797","Bryant McKinnie","Baltimore Ravens","rav",2013,NA,NA,NA,NA,NA,NA,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"821","Sebastian Vollmer","New England Patriots","nwe",2013,18,10,12,"foot leg",4,18,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"886","Roberto Garza","Chicago Bears","chi",2013,NA,NA,NA,NA,NA,NA,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"887","Nick Hayden","Dallas Cowboys","dal",2013,16,0,4,"back ribs",8,12,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,1
"889","Bryant McKinnie","Miami Dolphins","mia",2013,16,0,2,"knee",7,8,"OL",2002,1,7,80,360,"1979-09-23",5.13,0,0,0,80,343,0,0,1
"890","Donald Penn","Tampa Bay Buccaneers","tam",2013,16,0,1,"calf",10,10,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"891","Will Beatty","New York Giants","nyg",2013,16,0,0,"",Inf,-Inf,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,1
"892","Peyton Hillis","New York Giants","nyg",2013,16,1,2,"concussion",15,16,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,0
"893","Ishmaa'ily Kitchen","Cleveland Browns","cle",2013,NA,NA,NA,NA,NA,NA,"DEF",NA,NA,NA,73,334,"1988-06-24",NA,NA,NA,NA,NA,NA,NA,NA,0
"895","LeSean McCoy","Philadelphia Eagles","phi",2013,17,0,1,"hamstring",11,11,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"898","Red Bryant","Seattle Seahawks","sea",2013,19,1,4,"back concussion knee",4,16,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,0
"982","Peyton Hillis","New York Giants","nyg",2014,16,7,7,"concussion",10,16,"RB",2008,7,227,73,240,"1986-01-21",4.64,7.15,26,117,73,240,0,30.5,0
"997","Jadeveon Clowney","Houston Texans","htx",2014,16,12,15,"knee",2,16,"DEF",2014,1,1,77,255,"1993-02-14",4.53,7.27,21,124,77,266,4.43,37.5,1
"1030","Ishmaa'ily Kitchen","Cleveland Browns","cle",2014,16,1,1,"knee",16,16,"DEF",NA,NA,NA,73,334,"1988-06-24",NA,NA,NA,NA,NA,NA,NA,NA,1
"1036","Red Bryant","Jacksonville Jaguars","jax",2014,NA,NA,NA,NA,NA,NA,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,1
"1037","Roberto Garza","Chicago Bears","chi",2014,16,4,6,"ankle",1,6,"OL",2001,4,99,74,310,"1979-03-26",5,7.71,37,114,74,303,4.53,32.5,1
"1038","Will Beatty","New York Giants","nyg",2014,NA,NA,NA,NA,NA,NA,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,1
"1039","LeSean McCoy","Philadelphia Eagles","phi",2014,NA,NA,NA,NA,NA,NA,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"1041","Donald Penn","Las Vegas Raiders","rai",2014,NA,NA,NA,NA,NA,NA,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"1044","Nick Hayden","Dallas Cowboys","dal",2014,18,0,6,"shoulder",10,18,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,1
"1046","Sebastian Vollmer","New England Patriots","nwe",2014,NA,NA,NA,NA,NA,NA,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"1073","Ishmaa'ily Kitchen","Detroit Lions","det",2015,NA,NA,NA,NA,NA,NA,"DEF",NA,NA,NA,73,334,"1988-06-24",NA,NA,NA,NA,NA,NA,NA,NA,0
"1129","LeSean McCoy","Buffalo Bills","buf",2015,16,4,10,"hamstring  shoulder knee",1,16,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"1134","Jadeveon Clowney","Houston Texans","htx",2015,17,4,14,"knee  shoulder ankle illness back wrist hamstring foot foot",1,17,"DEF",2014,1,1,77,255,"1993-02-14",4.53,7.27,21,124,77,266,4.43,37.5,1
"1139","Ishmaa'ily Kitchen","New England Patriots","nwe",2015,NA,NA,NA,NA,NA,NA,"DEF",NA,NA,NA,73,334,"1988-06-24",NA,NA,NA,NA,NA,NA,NA,NA,0
"1141","Donald Penn","Las Vegas Raiders","rai",2015,NA,NA,NA,NA,NA,NA,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"1142","Nick Hayden","Dallas Cowboys","dal",2015,16,0,3,"ankle",9,11,"DEF",2008,6,181,76,295,"1986-02-04",5.14,7.55,34,108,76,291,4.54,27,1
"1143","Cameron Meredith","Chicago Bears","chi",2015,16,0,1,"ankle",8,8,"WR",NA,NA,NA,75,207,"1992-09-21",NA,NA,NA,NA,NA,NA,NA,NA,0
"1147","Jesse James","Pittsburgh Steelers","pit",2015,NA,NA,NA,NA,NA,NA,"TE",2015,5,160,79,251,"1994-06-04",4.83,7.53,26,121,79,261,4.5,37.5,0
"1148","Sebastian Vollmer","New England Patriots","nwe",2015,18,2,5,"concussion ankle ankle",9,18,"OL",2009,2,58,80,315,"1984-07-10",NA,NA,NA,NA,NA,NA,NA,NA,1
"1149","Red Bryant","Arizona Cardinals","crd",2015,NA,NA,NA,NA,NA,NA,"DEF",2008,4,121,77,326,"1984-04-18",5,7.75,20,111,76,318,4.64,28,0
"1234","Curt Maggitt","Indianapolis Colts","clt",2016,16,5,7,"ankle concussion knee",7,16,"DEF",NA,NA,NA,75,256,"1993-02-04",4.73,0,0,0,75,247,0,0,0
"1245","Kenneth Farrow","Los Angeles Chargers","sdg",2016,16,1,1,"shoulder",16,16,"RB",NA,NA,NA,69,215,"1993-03-07",NA,NA,NA,NA,NA,NA,NA,NA,1
"1249","Cameron Meredith","Chicago Bears","chi",2016,16,0,1,"shoulder",8,8,"WR",NA,NA,NA,75,207,"1992-09-21",NA,NA,NA,NA,NA,NA,NA,NA,1
"1250","LeSean McCoy","Buffalo Bills","buf",2016,16,1,5,"hand hamstring thumb",5,11,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"1252","Will Beatty","New York Giants","nyg",2016,NA,NA,NA,NA,NA,NA,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,0
"1253","Donald Penn","Las Vegas Raiders","rai",2016,17,1,1,"knee",17,17,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"1256","Jadeveon Clowney","Houston Texans","htx",2016,18,2,4,"elbow wrist",8,16,"DEF",2014,1,1,77,255,"1993-02-14",4.53,7.27,21,124,77,266,4.43,37.5,1
"1258","Jesse James","Pittsburgh Steelers","pit",2016,NA,NA,NA,NA,NA,NA,"TE",2015,5,160,79,251,"1994-06-04",4.83,7.53,26,121,79,261,4.5,37.5,1
"1335","Donald Penn","Las Vegas Raiders","rai",2017,16,2,2,"foot",15,16,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"1343","Jadeveon Clowney","Houston Texans","htx",2017,16,0,1,"knee",14,14,"DEF",2014,1,1,77,255,"1993-02-14",4.53,7.27,21,124,77,266,4.43,37.5,1
"1345","Will Beatty","Philadelphia Eagles","phi",2017,NA,NA,NA,NA,NA,NA,"OL",2009,2,60,78,291,"1985-03-02",5.06,7.62,27,107,78,307,4.77,33.5,0
"1347","Ricky Seals-Jones","Arizona Cardinals","crd",2017,NA,NA,NA,NA,NA,NA,"WR",NA,NA,NA,77,243,"1995-03-15",4.69,7.46,17,121,77,243,4.33,28,0
"1349","LeSean McCoy","Buffalo Bills","buf",2017,17,0,1,"ankle",17,17,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"1350","Damontae Kazee","Atlanta Falcons","atl",2017,NA,NA,NA,NA,NA,NA,"DEF",2017,5,149,71,174,"1993-06-05",4.54,NA,11,124,70,184,NA,34,0
"1351","Jesse James","Pittsburgh Steelers","pit",2017,NA,NA,NA,NA,NA,NA,"TE",2015,5,160,79,251,"1994-06-04",4.83,7.53,26,121,79,261,4.5,37.5,0
"1373","Donald Penn","Las Vegas Raiders","rai",2018,16,12,12,"foot",5,16,"OL",NA,NA,NA,76,315,"1983-04-27",5.05,NA,21,NA,76,317,NA,NA,1
"1405","Cameron Meredith","New Orleans Saints","nor",2018,18,10,10,"knee",9,18,"WR",NA,NA,NA,75,207,"1992-09-21",NA,NA,NA,NA,NA,NA,NA,NA,0
"1439","Ricky Seals-Jones","Arizona Cardinals","crd",2018,16,1,2,"illness shoulder",15,16,"WR",NA,NA,NA,77,243,"1995-03-15",4.69,7.46,17,121,77,243,4.33,28,0
"1441","Damontae Kazee","Atlanta Falcons","atl",2018,NA,NA,NA,NA,NA,NA,"DEF",2017,5,149,71,174,"1993-06-05",4.54,NA,11,124,70,184,NA,34,1
"1443","Quenton Meeks","Jacksonville Jaguars","jax",2018,16,4,4,"knee",9,12,"DEF",NA,NA,NA,73,209,"1997-06-20",NA,6.72,11,128,74,205,4.23,39,0
"1444","LeSean McCoy","Buffalo Bills","buf",2018,16,2,4,"rib concussion hamstring",3,14,"RB",2009,2,53,71,210,"1988-07-12",4.5,NA,NA,NA,70,198,NA,NA,1
"1445","Jesse James","Pittsburgh Steelers","pit",2018,NA,NA,NA,NA,NA,NA,"TE",2015,5,160,79,251,"1994-06-04",4.83,7.53,26,121,79,261,4.5,37.5,0
"1446","Jadeveon Clowney","Houston Texans","htx",2018,17,1,2,"back groin",2,9,"DEF",2014,1,1,77,255,"1993-02-14",4.53,7.27,21,124,77,266,4.43,37.5,1
"1531","Herana-Daze Jones","New Orleans Saints","nor",2009,NA,NA,NA,NA,NA,NA,"DEF",NA,NA,NA,71,205,"1982-04-15",NA,NA,NA,NA,NA,NA,NA,NA,0
"1536","Nick Hennessey","Buffalo Bills","buf",2009,NA,NA,NA,NA,NA,NA,"OL",NA,NA,NA,77,300,"1986-07-02",NA,NA,NA,NA,NA,NA,NA,NA,0
"1539","Matt Schaub","Houston Texans","htx",2009,16,0,4,"ankle  shoulder",1,14,"QB",2004,3,90,78,245,"1981-06-25",5.04,7.65,NA,110,78,243,4.62,30.5,1
"1540","Casey Hampton","Pittsburgh Steelers","pit",2009,NA,NA,NA,NA,NA,NA,"DEF",2001,1,19,73,325,"1977-09-03",5.25,0,34,0,73,314,0,0,1
"1543","Donovan McNabb","Philadelphia Eagles","phi",2009,17,2,5,"rib shoulder",2,6,"QB",1999,1,2,74,240,"1976-11-25",NA,NA,NA,NA,NA,NA,NA,NA,1
"1546","Dwan Edwards","Baltimore Ravens","rav",2009,NA,NA,NA,NA,NA,NA,"DEF",2004,2,51,75,305,"1981-05-16",5.12,7.59,25,105,75,313,4.68,28,0
"1549","Jim Leonhard","New York Jets","nyj",2009,19,0,10,"knee thumb",3,15,"DEF",NA,NA,NA,68,188,"1982-10-27",4.63,0,19,0,68,191,0,0,1
"1551","Jon Stinchcomb","New Orleans Saints","nor",2009,19,0,3,"knee",7,15,"OL",2003,2,37,77,315,"1979-08-27",4.99,7.83,32,115,77,302,4.62,35,1
"1612","Jim Leonhard","New York Jets","nyj",2010,19,8,9,"biceps tibia",6,19,"DEF",NA,NA,NA,68,188,"1982-10-27",4.63,0,19,0,68,191,0,0,1
"1613","Dwan Edwards","Buffalo Bills","buf",2010,16,5,5,"hamstring",12,16,"DEF",2004,2,51,75,305,"1981-05-16",5.12,7.59,25,105,75,313,4.68,28,1
"1622","Donovan McNabb","Washington Football Team","was",2010,16,2,12,"ankle  thigh hamstring hamstring/groin",1,15,"QB",1999,1,2,74,240,"1976-11-25",NA,NA,NA,NA,NA,NA,NA,NA,1
"1632","Matt Schaub","Houston Texans","htx",2010,16,0,7,"ribs knee arm elbow",9,15,"QB",2004,3,90,78,245,"1981-06-25",5.04,7.65,NA,110,78,243,4.62,30.5,1
"1634","Jon Stinchcomb","New Orleans Saints","nor",2010,17,0,7,"shoulder knee illness",5,13,"OL",2003,2,37,77,315,"1979-08-27",4.99,7.83,32,115,77,302,4.62,35,1
"1637","Casey Hampton","Pittsburgh Steelers","pit",2010,19,1,2,"hamstring",2,3,"DEF",2001,1,19,73,325,"1977-09-03",5.25,0,34,0,73,314,0,0,1
"1664","Donovan McNabb","Minnesota Vikings","min",2011,16,0,1,"wrist",1,1,"QB",1999,1,2,74,240,"1976-11-25",NA,NA,NA,NA,NA,NA,NA,NA,1
"1676","Matt Schaub","Houston Texans","htx",2011,18,8,11,"foot shoulder/thigh chest",3,18,"QB",2004,3,90,78,245,"1981-06-25",5.04,7.65,NA,110,78,243,4.62,30.5,1
"1688","Jim Leonhard","New York Jets","nyj",2011,16,3,4,"hamstring knee",3,16,"DEF",NA,NA,NA,68,188,"1982-10-27",4.63,0,19,0,68,191,0,0,1
"1694","Dwan Edwards","Buffalo Bills","buf",2011,NA,NA,NA,NA,NA,NA,"DEF",2004,2,51,75,305,"1981-05-16",5.12,7.59,25,105,75,313,4.68,28,1
"1696","Casey Hampton","Pittsburgh Steelers","pit",2011,17,3,5,"shoulder knee",5,17,"DEF",2001,1,19,73,325,"1977-09-03",5.25,0,34,0,73,314,0,0,1
"1755","Casey Hampton","Pittsburgh Steelers","pit",2012,16,0,1,"illness",12,12,"DEF",2001,1,19,73,325,"1977-09-03",5.25,0,34,0,73,314,0,0,1
"1757","Dwan Edwards","Carolina Panthers","car",2012,16,2,7,"ankle hamstring wrist",7,15,"DEF",2004,2,51,75,305,"1981-05-16",5.12,7.59,25,105,75,313,4.68,28,1
"1760","Jim Leonhard","Denver Broncos","den",2012,17,0,5,"calf ankle thigh",9,17,"DEF",NA,NA,NA,68,188,"1982-10-27",4.63,0,19,0,68,191,0,0,0
"1761","Matt Schaub","Houston Texans","htx",2012,18,0,2,"head elbow",3,4,"QB",2004,3,90,78,245,"1981-06-25",5.04,7.65,NA,110,78,243,4.62,30.5,1
"1801","Nathan Stupar","San Francisco 49ers","sfo",2013,NA,NA,NA,NA,NA,NA,"OL",2012,7,230,74,240,"1988-03-14",4.65,6.84,21,116,74,241,4.28,31,0
"1838","Skye Dawson","Tampa Bay Buccaneers","tam",2013,NA,NA,NA,NA,NA,NA,"WR",NA,NA,NA,69,183,"1990-12-02",NA,NA,NA,NA,NA,NA,NA,NA,0
"1848","DeVonte Holloman","Dallas Cowboys","dal",2013,16,7,9,"neck hip",7,16,"OL",2013,6,185,74,243,"1991-02-12",4.76,7.3,15,113,73,243,4.26,33,1
"1849","Nathan Stupar","Jacksonville Jaguars","jax",2013,16,0,2,"chest neck",13,15,"OL",2012,7,230,74,240,"1988-03-14",4.65,6.84,21,116,74,241,4.28,31,0
"1850","Dion Sims","Miami Dolphins","mia",2013,16,1,4,"groin  toe",1,9,"TE",2013,4,106,76,268,"1991-02-18",4.75,7.36,22,112,77,262,4.52,35,0
"1852","Jim Leonhard","Buffalo Bills","buf",2013,NA,NA,NA,NA,NA,NA,"DEF",NA,NA,NA,68,188,"1982-10-27",4.63,0,19,0,68,191,0,0,1
"1853","Matt Schaub","Houston Texans","htx",2013,16,2,3,"knee ankle",4,8,"QB",2004,3,90,78,245,"1981-06-25",5.04,7.65,NA,110,78,243,4.62,30.5,1
"1854","Kenbrell Thompkins","New England Patriots","nwe",2013,18,3,5,"shoulder hip",5,16,"WR",NA,NA,NA,72,196,"1988-07-29",4.54,6.88,8,121,73,193,4.21,33.5,0
"1855","Dwan Edwards","Carolina Panthers","car",2013,17,5,10,"thigh hamstring  personal",1,14,"DEF",2004,2,51,75,305,"1981-05-16",5.12,7.59,25,105,75,313,4.68,28,1
"1871","Kenbrell Thompkins","New England Patriots","nwe",2014,NA,NA,NA,NA,NA,NA,"WR",NA,NA,NA,72,196,"1988-07-29",4.54,6.88,8,121,73,193,4.21,33.5,0
"1914","Demetrius Harris","Kansas City Chiefs","kan",2014,16,7,7,"foot",10,16,"TE",NA,NA,NA,79,230,"1991-07-29",NA,NA,NA,NA,NA,NA,NA,NA,0
